City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Sioux Lookout,CA,50.1001,-91.917,-9.02,77,20,5.75,few clouds
207,Valparaiso,CL,-33.0393,-71.6273,60.44,77,75,5.75,broken clouds
208,Adre,TD,13.4667,22.2,66.81,21,5,8.43,clear sky
209,Bluff,NZ,-46.6,168.3333,66.79,67,1,9.62,clear sky
210,Nouadhibou,MR,20.931,-17.0347,67.95,49,95,11.39,overcast clouds
211,Carupano,VE,10.6678,-63.2585,76.64,86,34,10.63,scattered clouds
212,Halifax,CA,44.6453,-63.5724,59.68,95,100,15.01,overcast clouds
213,San Patricio,US,28.017,-97.5169,64.49,47,100,15.08,overcast clouds
214,Kodiak,US,57.79,-152.4072,36.91,87,40,3.44,scattered clouds
215,Tsabong,BW,-26.0217,22.401,69.31,29,0,8.41,clear sky
216,Sept-Iles,CA,50.2001,-66.3821,32.52,97,90,11.99,light rain and snow
217,Leningradskiy,RU,69.3833,178.4167,-6.75,85,100,28.7,overcast clouds
218,Dongsheng,CN,39.8161,109.9776,31.55,28,100,4.7,overcast clouds
219,Gaoua,BF,10.2992,-3.2508,73.87,21,35,3.49,scattered clouds
220,Ilulissat,GL,69.2167,-51.1,19.42,49,100,13.8,overcast clouds
221,Punta De Piedra,VE,7.6176,-71.4916,78.64,64,98,1.72,overcast clouds
222,Tabou,CI,4.423,-7.3528,78.76,85,37,7.02,light rain
223,Poum,NC,-20.2333,164.0167,82.63,71,2,11.32,clear sky
224,Angoche,MZ,-16.2325,39.9086,75.72,88,100,6.11,overcast clouds
225,Chicama,PE,-7.8447,-79.1469,63.14,80,100,4.74,overcast clouds
226,Tuatapere,NZ,-46.1333,167.6833,66.81,51,15,9.17,few clouds
227,Aktash,RU,50.3,87.7333,13.51,84,100,4.16,overcast clouds
228,Uromi,NG,6.7,6.3333,71.24,96,86,3.58,overcast clouds
229,Vao,NC,-22.6667,167.4833,79.02,73,0,3.87,clear sky
230,Vega De Alatorre,MX,20.0333,-96.6333,75.36,88,59,6.06,broken clouds
231,Narsaq,GL,60.9167,-46.05,16.02,49,59,18.52,broken clouds
232,Sola,VU,-13.8833,167.55,84.87,84,75,0.0,broken clouds
233,Sangar,RU,63.9242,127.4739,-25.69,96,100,2.62,overcast clouds
234,Kanniyakumari,IN,8.0833,77.5667,80.78,79,39,14.09,scattered clouds
235,Kaseda,JP,31.4167,130.3167,66.54,55,13,13.2,few clouds
236,Mecca,SA,21.4267,39.8261,70.57,78,27,0.72,scattered clouds
237,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.3,84,100,4.09,overcast clouds
238,Gondanglegi,ID,-7.7479,112.0132,80.35,82,99,5.57,overcast clouds
239,Iqaluit,CA,63.7506,-68.5145,13.73,66,75,3.0,broken clouds
240,Byron Bay,AU,-28.65,153.6167,80.71,68,100,5.03,overcast clouds
241,Sao Filipe,CV,14.8961,-24.4956,76.89,68,46,5.26,scattered clouds
242,Havelock,US,34.8791,-76.9013,62.98,90,100,5.01,overcast clouds
243,Naze,JP,28.3667,129.4833,68.92,61,67,14.03,broken clouds
244,Vardo,NO,70.3705,31.1107,22.95,72,95,17.67,overcast clouds
245,Palana,RU,59.1167,159.9667,23.04,93,100,10.6,snow
246,Arlit,NE,18.7369,7.3853,67.86,17,5,8.25,clear sky
247,Lebu,CL,-37.6167,-73.65,57.29,86,73,11.12,broken clouds
248,Puerto Carreno,CO,6.189,-67.4859,82.49,60,92,8.84,overcast clouds
249,Buckie,GB,57.6757,-2.9624,36.03,68,22,11.7,few clouds
250,Lavrentiya,RU,65.5833,-171.0,-0.2,95,100,8.14,overcast clouds
251,Tongchuan,CN,35.0806,109.0897,40.68,39,97,12.15,overcast clouds
252,Samarai,PG,-10.6167,150.6667,84.47,72,100,12.28,overcast clouds
253,Lichuan,CN,30.3,108.85,47.25,57,95,9.82,overcast clouds
254,Bridlington,GB,54.0831,-0.1919,38.28,82,0,15.26,clear sky
255,Cap-Aux-Meules,CA,47.3821,-61.8597,48.22,93,90,23.02,overcast clouds
256,Atascadero,US,35.4894,-120.6707,53.35,68,100,1.72,overcast clouds
257,Prince George,CA,53.9166,-122.753,16.63,93,40,0.0,scattered clouds
258,Arraial Do Cabo,BR,-22.9661,-42.0278,72.64,87,49,12.53,scattered clouds
259,Dikson,RU,73.5069,80.5464,-16.35,100,91,2.8,overcast clouds
260,Zhanakorgan,KZ,43.9098,67.2495,37.8,80,94,3.47,overcast clouds
261,Romans-Sur-Isere,FR,45.0464,5.0562,38.93,91,69,5.21,broken clouds
262,Amalapuram,IN,16.5833,82.0167,80.98,71,2,7.23,clear sky
263,Camocim,BR,-2.9022,-40.8411,80.78,80,24,13.82,few clouds
264,Pacifica,US,37.6138,-122.4869,54.45,86,90,3.0,mist
265,Pisco,PE,-13.7,-76.2167,66.25,82,0,10.36,clear sky
266,Jodhpur,IN,26.2867,73.03,63.55,42,0,9.84,clear sky
267,Nizhneangarsk,RU,55.7833,109.55,25.99,78,98,3.94,overcast clouds
